sha,refactoring_type,url,match_type
f9ec0e8cbca615581ac819b94087aaee893bb6d9,Move Method,https://github.com/scikit-optimize/scikit-optimize/commit/f9ec0e8cbca615581ac819b94087aaee893bb6d9,TP
f9ec0e8cbca615581ac819b94087aaee893bb6d9,Move Method,https://github.com/scikit-optimize/scikit-optimize/commit/f9ec0e8cbca615581ac819b94087aaee893bb6d9,TP
f9ec0e8cbca615581ac819b94087aaee893bb6d9,Extract Method,https://github.com/scikit-optimize/scikit-optimize/commit/f9ec0e8cbca615581ac819b94087aaee893bb6d9,TP
f9ec0e8cbca615581ac819b94087aaee893bb6d9,Extract Class,https://github.com/scikit-optimize/scikit-optimize/commit/f9ec0e8cbca615581ac819b94087aaee893bb6d9,FN
f9ec0e8cbca615581ac819b94087aaee893bb6d9,Extract Class,https://github.com/scikit-optimize/scikit-optimize/commit/f9ec0e8cbca615581ac819b94087aaee893bb6d9,FN
f9ec0e8cbca615581ac819b94087aaee893bb6d9,Extract Class,https://github.com/scikit-optimize/scikit-optimize/commit/f9ec0e8cbca615581ac819b94087aaee893bb6d9,FN
f9ec0e8cbca615581ac819b94087aaee893bb6d9,Extract Class,https://github.com/scikit-optimize/scikit-optimize/commit/f9ec0e8cbca615581ac819b94087aaee893bb6d9,FN
f9b869cbaab08d5d9c998ba487aadbde685dae78,Inline Module,https://github.com/Hironsan/anago/commit/f9b869cbaab08d5d9c998ba487aadbde685dae78,TP
f9b869cbaab08d5d9c998ba487aadbde685dae78,Extract Class,https://github.com/Hironsan/anago/commit/f9b869cbaab08d5d9c998ba487aadbde685dae78,TP
f9b869cbaab08d5d9c998ba487aadbde685dae78,Extract Class,https://github.com/Hironsan/anago/commit/f9b869cbaab08d5d9c998ba487aadbde685dae78,TP
f940ed909b1bb2b4e869abb9239d4f9b742c84a3,Rename Method,https://github.com/DistrictDataLabs/yellowbrick/commit/f940ed909b1bb2b4e869abb9239d4f9b742c84a3,TP
f940ed909b1bb2b4e869abb9239d4f9b742c84a3,Rename Method,,FP
f940ed909b1bb2b4e869abb9239d4f9b742c84a3,Rename Class,https://github.com/DistrictDataLabs/yellowbrick/commit/f940ed909b1bb2b4e869abb9239d4f9b742c84a3,TP
f940ed909b1bb2b4e869abb9239d4f9b742c84a3,Rename Class,https://github.com/DistrictDataLabs/yellowbrick/commit/f940ed909b1bb2b4e869abb9239d4f9b742c84a3,TP
f940ed909b1bb2b4e869abb9239d4f9b742c84a3,Move Method,,FP
f940ed909b1bb2b4e869abb9239d4f9b742c84a3,Move Method,,FP
f940ed909b1bb2b4e869abb9239d4f9b742c84a3,Inline Variable,https://github.com/DistrictDataLabs/yellowbrick/commit/f940ed909b1bb2b4e869abb9239d4f9b742c84a3,TP
f940ed909b1bb2b4e869abb9239d4f9b742c84a3,Extract Variable,https://github.com/DistrictDataLabs/yellowbrick/commit/f940ed909b1bb2b4e869abb9239d4f9b742c84a3,TP
f940ed909b1bb2b4e869abb9239d4f9b742c84a3,Extract Variable,https://github.com/DistrictDataLabs/yellowbrick/commit/f940ed909b1bb2b4e869abb9239d4f9b742c84a3,FN
f940ed909b1bb2b4e869abb9239d4f9b742c84a3,Extract Method,https://github.com/DistrictDataLabs/yellowbrick/commit/f940ed909b1bb2b4e869abb9239d4f9b742c84a3,TP
f8e0ecb710fdcb8bf0e657a962a4e11e4c7c7365,Move Method,,FP
f8e0ecb710fdcb8bf0e657a962a4e11e4c7c7365,Move Method,,FP
f8e0ecb710fdcb8bf0e657a962a4e11e4c7c7365,Move Method,,FP
f8e0ecb710fdcb8bf0e657a962a4e11e4c7c7365,Inline Variable,https://github.com/pandas-dev/pandas/commit/f8e0ecb710fdcb8bf0e657a962a4e11e4c7c7365,FN
f8e0ecb710fdcb8bf0e657a962a4e11e4c7c7365,Extract Class,https://github.com/pandas-dev/pandas/commit/f8e0ecb710fdcb8bf0e657a962a4e11e4c7c7365,FN
f86ceee1b4a5cfa7ddc728eabcffc6327e853af3,Rename Variable,https://github.com/asyml/texar/commit/f86ceee1b4a5cfa7ddc728eabcffc6327e853af3,TP
f86ceee1b4a5cfa7ddc728eabcffc6327e853af3,Rename Variable,https://github.com/asyml/texar/commit/f86ceee1b4a5cfa7ddc728eabcffc6327e853af3,TP
f86ceee1b4a5cfa7ddc728eabcffc6327e853af3,Rename Variable,https://github.com/asyml/texar/commit/f86ceee1b4a5cfa7ddc728eabcffc6327e853af3,TP
f86ceee1b4a5cfa7ddc728eabcffc6327e853af3,Rename Variable,https://github.com/asyml/texar/commit/f86ceee1b4a5cfa7ddc728eabcffc6327e853af3,TP
f86ceee1b4a5cfa7ddc728eabcffc6327e853af3,Extract Method,https://github.com/asyml/texar/commit/f86ceee1b4a5cfa7ddc728eabcffc6327e853af3,TP
f863601cb4c852ef6f29bf0453e90595150e02dc,Extract Method,https://github.com/Unity-Technologies/ml-agents/commit/f863601cb4c852ef6f29bf0453e90595150e02dc,FN
f818cffc557e032e5a61949ced8bcda96d616660,Extract Method,https://github.com/kkroening/ffmpeg-python/commit/f818cffc557e032e5a61949ced8bcda96d616660,TP
f7815e3bdcd9595480841e3ac1d0fb609e9c0f1a,Rename Variable,https://github.com/keras-team/autokeras/commit/f7815e3bdcd9595480841e3ac1d0fb609e9c0f1a,TP
f7815e3bdcd9595480841e3ac1d0fb609e9c0f1a,Rename Variable,https://github.com/keras-team/autokeras/commit/f7815e3bdcd9595480841e3ac1d0fb609e9c0f1a,TP
f6f967a9326f06927a01ab75597eb4fe4d2855e9,Rename Method,https://github.com/Unity-Technologies/ml-agents/commit/f6f967a9326f06927a01ab75597eb4fe4d2855e9,TP
f6f967a9326f06927a01ab75597eb4fe4d2855e9,Rename Method,https://github.com/Unity-Technologies/ml-agents/commit/f6f967a9326f06927a01ab75597eb4fe4d2855e9,TP
f6f967a9326f06927a01ab75597eb4fe4d2855e9,Rename Method,https://github.com/Unity-Technologies/ml-agents/commit/f6f967a9326f06927a01ab75597eb4fe4d2855e9,TP
f69e046eef93af5a28de5330bfe15ee348520b2d,Rename Variable,https://github.com/keras-team/keras/commit/f69e046eef93af5a28de5330bfe15ee348520b2d,TP
f69e046eef93af5a28de5330bfe15ee348520b2d,Rename Variable,https://github.com/keras-team/keras/commit/f69e046eef93af5a28de5330bfe15ee348520b2d,TP
f69e046eef93af5a28de5330bfe15ee348520b2d,Extract Variable,https://github.com/keras-team/keras/commit/f69e046eef93af5a28de5330bfe15ee348520b2d,TP
